,germplasmme,War_22,Add_22,Blk_22,Stp_22,Neo_22,Urb_22,yield_factor_analytic,Seed source 2021,S600.range,S600.row,plot_name,Weight,Moisture,Test weight,Quick note,Harvest.Sequence.,action,Found
,2020-2032,68.46,73.77,84.1,93.85,96.64,100.32,86.19,Aug_Urb_21-plot1012,26,1,SI_Urb_22-26,7.67,11.6,61.1,,26,KEEP,TRUE
,IL16LCSDH-06-T-2661-52,66.25,75.56,86.22,94.25,94.79,99.9,86.16,DH_Urb_21-plot706,,,,,,,,,,
,2020-10038,69.3,73.06,84.43,92.78,98.38,98.96,86.15,Aug_Urb_21-plot4816,4,4,SI_Urb_22-117,7.29,11.7,62.3,,184,KEEP,TRUE
,IL16LCSDH-06-T-2661-21,77.31,70.33,84.22,92.16,94.85,97.9,86.13,DH2_Urb_21-plot505,,,,,,,,,,
,2020-2068,68.63,76.01,83.92,93.72,95.46,98.98,86.12,Aug_Urb_21-plot1101,29,1,SI_Urb_22-29,7.58,11.6,62.2,,29,KEEP,TRUE
,2020-7035,68.83,70.78,84.41,93.1,99.13,100.25,86.08,Aug_Urb_21-plot3511,28,3,SI_Urb_22-88,6.96,11.8,60.8,,148,KEEP,TRUE
,2020-17458,66.57,72.64,83.29,97.77,95.45,100.47,86.03,Aug_Urb_21-plot8503,29,7,SI_Urb_22-209,6.57,11.5,59.8,,389,KEEP,TRUE
,IL16LCSDH-07-T-2662-23,76.11,67.37,84.19,92.02,96.84,99.46,86,DH_Urb_21-plot808,,,,,,,,,,
,2020-2775,68.64,73.68,84.07,92.86,96.73,99.93,85.98,Aug_Urb_21-plot1501,21,2,SI_Urb_22-40,6.11,11.5,61.1,,81,KEEP,TRUE
,2020-15429,69.38,73.79,84.27,92.27,97.92,98.1,85.96,Aug_Urb_21-plot7118,7,6,SI_Urb_22-174,6.7,11.3,62.6,,307,KEEP,TRUE
,2020-13527,71.2,75.22,84.89,88.17,98.81,97.16,85.91,Aug_Urb_21-plot6213,30,6,SI_Urb_22-151,6.24,11.8,60.5,,330,KEEP,TRUE
,2020-17154,68.87,70.22,84.45,91.46,98.91,101.58,85.91,Aug_Urb_21-plot8217,23,7,SI_Urb_22-203,6.65,12,58.2,,383,KEEP,TRUE
,2020-8608,69.13,72.72,84.29,91.6,97.85,99.73,85.89,Aug_Urb_21-plot4118,22,4,SI_Urb_22-99,6.25,11.7,61.4,,202,KEEP,TRUE
,2020-5250,69.18,73.83,84.15,91.91,97.38,98.58,85.84,Aug_Urb_21-plot2714,5,2,SI_Urb_22-56,6.72,11.7,62.7,,65,KEEP,TRUE
,2020-17110,67.46,70.63,83.78,93.97,96.98,102.02,85.81,Aug_Urb_21-plot8201,20,7,SI_Urb_22-200,6.43,11.9,58.4,,380,KEEP,TRUE
,2020-10267,67.78,67.21,84.08,94.64,100.29,100.72,85.79,Aug_Urb_21-plot5015,1,5,SI_Urb_22-121,7.12,11.2,61.7,,241,KEEP,TRUE
,19-20337,68.56,66.87,84.44,92.61,101.19,100.88,85.76,Aug_Urb_20-plot4203,,,,,,,,,,
,IL16LCSDH-07-T-2662-21,67.27,72.09,87.17,89.96,97.66,100.35,85.75,DH_Urb_21-plot805,,,,,,,,,,
,2020-10050,67.96,71.54,83.75,94.64,97.77,98.8,85.74,Aug_Urb_21-plot4820,3,4,SI_Urb_22-118,7.63,11.8,61.3,,183,KEEP,TRUE
,IL16LCSDH-02-T-864-5,63.77,69.03,85.49,96.69,99.23,100.06,85.71,DH2_Urb_21-plot303,,,,,,,,,,
,IL16LCSDH-06-T-2661-234,65.5,72.63,86.1,89.67,98.61,101.51,85.67,DH_Urb_21-plot1605,,,,,,,,,,
,2020-1578,68.14,73.24,83.65,93.89,96.67,98.44,85.67,Aug_Urb_21-plot705,12,1,SI_Urb_22-12,6.25,11.7,62.2,,12,KEEP,TRUE
,2020-9168,69.58,74.48,83.94,92.55,98.25,94.53,85.56,Aug_Urb_21-plot4408,16,4,SI_Urb_22-105,6.42,11.3,62.1,,196,KEEP,TRUE
,IL16LCSDH-02-T-864-8,68.79,74.73,84.85,89.74,97.52,97.17,85.47,DH2_Urb_21-plot306,,,,,,,,,,
,IL16LCSDH-01-T-863-52,56.32,72.08,83.02,97.95,99.77,103.54,85.45,DH_Urb_21-plot102,,,,,,,,,,
,2020-2615,67.17,73.28,83.22,93.65,94.66,100.64,85.44,Aug_Urb_21-plot1406,24,2,SI_Urb_22-37,6.87,11.7,61.8,,84,KEEP,TRUE
,2020-17163,71.02,75.39,84.54,86.88,98.01,96.7,85.42,Aug_Urb_21-plot8219,24,7,SI_Urb_22-204,6.51,11.2,60.7,,384,KEEP,TRUE
,2020-11841,66.56,70.17,83.07,96.26,96.79,99.33,85.36,Aug_Urb_21-plot5709,19,5,SI_Urb_22-139,5.7,12,61.1,,259,KEEP,TRUE
,2020-16521,67.29,73.81,83.21,92.07,93.88,101.54,85.3,Aug_Urb_21-plot7804,9,7,SI_Urb_22-189,7.45,11.2,61,,369,KEEP,TRUE
,IL16LCSDH-04-T-2659-23,81.3,72.75,80.08,88.35,92.7,96.16,85.22,DH_Urb_21-plot516,,,,,,,,,,
,2020-14253,68.72,73.38,83.59,91.42,96.89,97.16,85.19,Aug_Urb_21-plot6518,20,6,SI_Urb_22-161,5.8,12.2,60.2,,320,KEEP,
,2020-17445,69.42,75.17,83.8,88.96,95.97,97.78,85.18,Aug_Urb_21-plot8420,27,7,SI_Urb_22-207,6.93,11.3,61.5,,387,KEEP,TRUE
,IL16LCSDH-10-T-2665-20,55.99,74.54,83.79,95.31,100.37,100.87,85.15,DH_Urb_21-plot1113,,,,,,,,,,
,2020-1739,67.53,69.63,83.52,91.35,96.97,101.7,85.12,Aug_Urb_21-plot811,14,1,SI_Urb_22-14,5.84,11.7,59.7,,14,KEEP,TRUE
,2020-3614,69.39,73.35,83.79,90.28,97.83,96,85.11,Aug_Urb_21-plot1802,14,2,SI_Urb_22-47,6.48,11.7,62.1,,74,KEEP,TRUE
,IL16LCSDH-04-T-2659-231,77.34,74.47,82.95,87.74,94.36,93.62,85.08,DH_Urb_21-plot1501,,,,,,,,,,
,IL16LCSDH-10-T-2665-54,58.25,73.52,84.34,94.42,97.39,102.53,85.08,DH_Urb_21-plot1215,,,,,,,,,,
,2020-16902,69.88,71.58,84.3,86.47,98.22,99.98,85.07,Aug_Urb_21-plot8011,16,7,SI_Urb_22-196,6.94,11.3,62.6,,376,KEEP,TRUE
,2020-10023,67.24,70.34,83.28,92.16,96.33,100.94,85.05,Aug_Urb_21-plot4812,6,4,SI_Urb_22-115,7.05,11.7,61.5,,186,KEEP,TRUE
,2020-15209,68.5,71.32,83.73,89.31,96.91,100.54,85.05,Aug_Urb_21-plot7009,15,6,SI_Urb_22-166,7.61,11.7,60.4,,315,KEEP,TRUE
,IL16LCSDH-11-T-2666-220,72.12,69.24,79.82,90.91,99.19,98.98,85.04,DH_Urb_21-plot1804,,,,,,,,,,
,2020-16228,67.35,71.64,83.12,92.8,96,99.13,85.01,Aug_Urb_21-plot7610,7,7,SI_Urb_22-187,6.55,11.1,62.3,,367,KEEP,TRUE
,2020-5369,66.85,71.1,82.9,94.6,96.19,98.37,85,Aug_Urb_21-plot2808,1,3,SI_Urb_22-61,6.77,11.4,61.5,,121,KEEP,TRUE
,2020-7535,68.31,72.05,83.43,91.62,97.16,97.46,85,Aug_Urb_21-plot3809,30,4,SI_Urb_22-91,6.86,11.8,61.8,,210,KEEP,TRUE
,IL16LCSDH-02-T-864-29,60.19,72.45,83.38,92.88,100.65,100.12,84.94,DH_Urb_21-plot317,,,,,,,,,,
,2020-10222,66.85,68.44,83.16,93.22,97.4,100.48,84.92,Aug_Urb_21-plot5008,1,4,SI_Urb_22-120,7.43,11.4,61.5,,181,KEEP,TRUE
,2020-13707,68.03,70.1,83.47,90.77,97.58,99.3,84.88,Aug_Urb_21-plot6306,29,6,SI_Urb_22-152,7.32,12.1,59.4,,329,KEEP,TRUE
,2020-6103,67.42,74.52,82.82,92.63,94.19,97.68,84.88,Aug_Urb_21-plot3105,10,3,SI_Urb_22-70,7.47,11.8,61.5,,130,KEEP,TRUE
,2020-3530,67.6,71.45,83.17,91.65,96.18,99.13,84.86,Aug_Urb_21-plot1713,16,2,SI_Urb_22-45,5.85,11.6,61.8,,76,KEEP,TRUE
,2020-15810,66.86,70.05,82.96,93.34,96.42,99.46,84.85,Aug_Urb_21-plot7320,2,6,SI_Urb_22-179,7.35,11.4,62.5,,302,KEEP,TRUE
,2020-16637,68.71,76.04,83.23,89.22,94.26,97.45,84.82,Aug_Urb_21-plot7902,11,7,SI_Urb_22-191,7.54,10.9,62.9,,371,KEEP,TRUE
,2020-9638,67.42,75.35,82.72,92.31,93.52,97.52,84.81,Aug_Urb_21-plot4609,13,4,SI_Urb_22-108,6.96,11.7,61.5,,193,KEEP,TRUE
,2020-15961,69.09,74.02,83.51,88.8,96.22,97.15,84.8,Aug_Urb_21-plot7413,1,7,SI_Urb_22-181,6.26,11.4,61.8,,361,KEEP,TRUE
,2020-15438,69.5,74.53,83.62,88.19,96.44,96.47,84.79,Aug_Urb_21-plot7201,6,6,SI_Urb_22-175,6.86,11.4,62.9,,306,KEEP,TRUE
,2020-2034,68.16,72.65,83.15,91.55,96.57,96.44,84.75,Aug_Urb_21-plot1013,27,1,SI_Urb_22-27,6.92,11.8,59.2,,27,KEEP,TRUE
,2020-4878,67.7,72.72,82.96,92.19,95.87,97.01,84.74,Aug_Urb_21-plot2601,10,2,SI_Urb_22-51,7.34,11.7,62.4,,70,KEEP,TRUE
,2020-1908,66.9,72.33,82.66,92.89,94.87,98.28,84.66,Aug_Urb_21-plot917,22,1,SI_Urb_22-22,5.8,12,58.9,,22,KEEP,TRUE
,IL16LCSDH-03-T-865-28,58.14,71.38,82.43,95.14,97.29,102.98,84.56,DH2_Urb_21-plot416,,,,,,,,,,
,2020-7877,67.84,73.13,82.72,92.47,96.19,94.4,84.46,Aug_Urb_21-plot3918,26,4,SI_Urb_22-95,7.35,11.5,61.8,,206,KEEP,TRUE
,2020-1759,66.23,70.28,82.45,93.35,95.22,99.09,84.44,Aug_Urb_21-plot819,16,1,SI_Urb_22-16,4.83,12,59.4,,16,KEEP,TRUE
,2020-1865,65.92,71.14,82.26,93.9,94.24,99.21,84.44,Aug_Urb_21-plot913,21,1,SI_Urb_22-21,5.56,12.6,57.4,,21,KEEP,TRUE
,2020-2335,66.32,68.13,82.7,92.44,96.42,100.55,84.43,Aug_Urb_21-plot1208,26,2,SI_Urb_22-35,7.37,11.5,60.8,,86,KEEP,TRUE
,IL16LCSDH-07-T-2662-22,56.31,70.53,83.33,94.59,100.65,101.08,84.42,DH_Urb_21-plot807,,,,,,,,,,
,2020-11551,66.77,71.96,82.47,92.13,94.67,98.09,84.35,Aug_Urb_21-plot5603,16,5,SI_Urb_22-136,6.37,11.6,61.3,,256,KEEP,TRUE
,2020-8922,67.53,69.09,82.97,91.08,97.69,97.63,84.33,Aug_Urb_21-plot4305,17,4,SI_Urb_22-104,6.38,11.6,62.7,,197,KEEP,TRUE
,2020-5533,67.69,71.31,82.84,90.91,96.45,96.78,84.33,Aug_Urb_21-plot2903,4,3,SI_Urb_22-64,6.75,11.2,62.5,,124,KEEP,TRUE
,2020-6223,66.94,73,82.4,90.92,93.83,98.08,84.19,Aug_Urb_21-plot3203,18,3,SI_Urb_22-78,6.18,11.9,59.7,,138,KEEP,TRUE
,2020-1314,68.12,74.1,82.75,88.33,94.33,97.16,84.13,Aug_Urb_21-plot506,8,1,SI_Urb_22-8,5.61,11.7,62.2,,8,KEEP,TRUE
,IL16LCSDH-03-T-865-46,54.39,69.57,79.19,97.07,101.39,103.01,84.1,DH_Urb_21-plot417,,,,,,,,,,
,IL16LCSDH-01-T-863-69,62.46,69.09,79.98,94.97,96.89,101.12,84.09,DH_Urb_21-plot114,,,,,,,,,,
,2020-4869,66.17,70.61,82.2,92.19,94.54,98.73,84.07,Aug_Urb_21-plot2520,11,2,SI_Urb_22-50,7.29,11.7,62,,71,KEEP,TRUE
,IL16LCSDH-07-T-2662-31,62.11,70.63,82.86,93.41,95.08,100.09,84.03,DH_Urb_21-plot810,,,,,,,,,,
,2020-2310,66.42,70.79,82.05,94.45,96.05,94.32,84.01,Aug_Urb_21-plot1202,30,2,SI_Urb_22-31,5.26,11.8,59.8,,90,KEEP,TRUE
,IL16LCSDH-02-T-864-24,72.45,69.68,85.24,85.72,96.52,94.34,83.99,DH_Urb_21-plot315,,,,,,,,,,
,2020-602,67.84,73.75,82.55,88.6,94.22,96.8,83.96,Aug_Urb_21-plot212,3,1,SI_Urb_22-3,4.28,0,0,,3,KEEP,TRUE
,2020-5308,68.54,75.87,82.56,88.56,94.24,93.9,83.95,Aug_Urb_21-plot2718,3,2,SI_Urb_22-58,6.64,12,61.9,,63,KEEP,TRUE
,IL16LCSDH-07-T-2662-43,66.69,70.19,80.46,93.11,93.63,99.4,83.91,DH_Urb_21-plot814,,,,,,,,,,
,2020-17307,68.27,73.27,82.71,87.68,95.05,96.35,83.89,Aug_Urb_21-plot8401,25,7,SI_Urb_22-205,6.69,11.9,61.4,,385,KEEP,TRUE
,2020-9818,67.09,71.95,82.31,89.92,94.59,97.17,83.84,Aug_Urb_21-plot4702,11,4,SI_Urb_22-110,7.33,11.2,62.5,,191,KEEP,TRUE
,2020-12056,67.31,70.99,82.43,89.9,95.7,96.58,83.82,Aug_Urb_21-plot5713,20,5,SI_Urb_22-140,5.57,12.4,56.7,,260,KEEP,TRUE
,2020-17565,67.25,69.65,82.46,89.97,96.58,96.49,83.73,Aug_Urb_21-plot8515,30,8,SI_Urb_22-211,6.33,11.3,62.2,,450,KEEP,TRUE
,2020-1747,65.34,70.68,81.75,91.22,92.52,100.68,83.7,Aug_Urb_21-plot813,15,1,SI_Urb_22-15,6.43,11.7,58.9,,15,KEEP,TRUE
,2020-5238,66.9,71.73,82.15,89.53,94.28,97.25,83.64,Aug_Urb_21-plot2712,6,2,SI_Urb_22-55,6.75,11.7,62.6,,66,KEEP,TRUE
,2020-13735,68.39,71.51,82.65,87.76,96.71,94.53,83.59,Aug_Urb_21-plot6310,27,6,SI_Urb_22-154,6.55,11.7,61.6,,327,KEEP,TRUE
,2020-10325,66.84,68.54,82.21,91.09,97.12,95.48,83.55,Aug_Urb_21-plot5110,6,5,SI_Urb_22-126,6.9,11.7,59.8,,246,KEEP,TRUE
,2020-15423,67.85,71.72,82.32,89.58,96.35,93.42,83.54,Aug_Urb_21-plot7117,8,6,SI_Urb_22-173,6.24,10.5,64.6,,308,KEEP,TRUE
,IL16LCSDH-03-T-865-36,64.4,72.19,82.15,87.54,97.27,97.5,83.51,DH_Urb_21-plot411,,,,,,,,,,
,2020-7954,67.3,70.79,82.08,91.76,96.89,92.25,83.51,Aug_Urb_21-plot4002,24,4,SI_Urb_22-97,5.78,11.4,62.3,,204,KEEP,TRUE
,2020-528,67.51,74.15,82.12,87.76,93.16,96.21,83.48,Aug_Urb_21-plot209,1,1,SI_Urb_22-1,4.12,0,0,,1,KEEP,TRUE
,2020-5315,68.58,74.5,82.48,86.25,94.43,94.66,83.48,Aug_Urb_21-plot2801,2,2,SI_Urb_22-59,6.16,11.8,61.1,,62,KEEP,TRUE
,2020-10057,66.62,70.23,81.97,90.88,95.46,95.64,83.47,Aug_Urb_21-plot4902,2,4,SI_Urb_22-119,7.39,11.8,61.1,,182,KEEP,TRUE
,Kaskaskia,65.33,63.04,82.28,93.39,96.07,100.63,83.46,Checks,,,,,,,,,,
,2020-2403,66.26,68.67,81.9,91.76,96.23,95.73,83.43,Aug_Urb_21-plot1302,25,2,SI_Urb_22-36,6.62,11.5,61.7,,85,KEEP,TRUE
,2020-6453,66.12,67.5,82.02,90.27,96.05,98.27,83.37,Aug_Urb_21-plot3217,23,3,SI_Urb_22-83,5.75,12.3,61.5,,143,KEEP,TRUE
,IL16LCSDH-03-T-865-65,63.37,70.06,82,92.25,95.29,95.6,83.1,DH_Urb_21-plot420,,,,,,,,,,
,2020-1128,68.52,70.57,82.46,86.21,97.2,93.46,83.07,Aug_Urb_21-plot412,6,1,SI_Urb_22-6,5.73,11.6,61.7,,6,KEEP,TRUE
,2020-12226,64.45,70.01,80.91,93.38,92.56,97.05,83.06,Aug_Urb_21-plot5802,22,5,SI_Urb_22-142,5.85,11.8,59.7,,262,KEEP,TRUE
,2020-10474,66.9,72.47,81.58,89.8,94.3,93.02,83.01,Aug_Urb_21-plot5202,9,5,SI_Urb_22-129,7.48,11.7,60.8,,249,KEEP,TRUE
,2020-850,67.28,69.33,82.12,86.39,95.63,96.94,82.95,Aug_Urb_21-plot313,4,1,SI_Urb_22-4,3.56,0,0,,4,KEEP,TRUE
,IL16LCSDH-06-T-2661-231,61.59,69.61,78.6,94.15,93.76,99.48,82.87,DH_Urb_21-plot1602,,,,,,,,,,
,2020-6201,67.85,73.98,81.88,85.69,93.37,94.44,82.87,Aug_Urb_21-plot3119,16,3,SI_Urb_22-76,6.02,11.8,59.9,mixed with 15,136,KEEP,TRUE
,2020-17447,66.72,70.36,81.7,87.91,94.56,95.81,82.84,Aug_Urb_21-plot8501,28,7,SI_Urb_22-208,6.68,11.1,62.6,,388,KEEP,TRUE
,2020-16523,64.95,71.68,80.86,90.86,91.45,96.81,82.77,Aug_Urb_21-plot7805,10,7,SI_Urb_22-190,7.3,11.5,59.5,,370,KEEP,TRUE
,2020-3211,66.67,68.5,81.69,88.74,96.19,94.56,82.72,Aug_Urb_21-plot1612,18,2,SI_Urb_22-43,5.54,11.6,62,,78,KEEP,TRUE
,2020-6335,64.87,68.53,81.05,90.22,93.16,98.15,82.66,Aug_Urb_21-plot3210,20,3,SI_Urb_22-80,5.22,12,60.8,,140,KEEP,TRUE
,IL16LCSDH-02-T-864-37,61.35,70.99,80.91,90.84,93.6,97.86,82.59,DH_Urb_21-plot320,,,,,,,,,,
,IL16LCSDH-03-T-865-40,67.37,67.9,77.78,87.92,97.06,97.4,82.57,DH_Urb_21-plot413,,,,,,,,,,
,2020-15348,66,69.96,81.27,87.31,93.28,96.84,82.44,Aug_Urb_21-plot7107,12,6,SI_Urb_22-169,7.18,11.4,61.5,,312,KEEP,
,IL16LCSDH-03-T-865-39,54.42,68.32,81.68,93.63,96.84,99.53,82.4,DH_Urb_21-plot412,,,,,,,,,,
,2020-12073,65.86,71.89,80.99,88.09,92.1,95.47,82.4,Aug_Urb_21-plot5716,21,5,SI_Urb_22-141,5.88,12.1,59.3,,261,KEEP,TRUE
,2020-13710,65.33,70.92,80.72,89.85,92.56,94.44,82.3,Aug_Urb_21-plot6307,28,6,SI_Urb_22-153,6.64,11.5,61.2,,328,KEEP,TRUE
,2020-13354,66.16,70.49,81.05,88.75,94.06,93.24,82.29,Aug_Urb_21-plot6116,30,5,SI_Urb_22-150,6.59,11.4,62.3,,270,KEEP,TRUE
,IL16LCSDH-03-T-865-35,61.76,67.82,79.31,89.41,95.64,99.59,82.25,DH_Urb_21-plot410,,,,,,,,,,
,IL16LCSDH-05-T-2660-3,50.44,71.38,79.45,90.8,100,100.73,82.13,DH2_Urb_21-plot418,,,,,,,,,,
,2020-14846,65.48,70.06,80.71,88.57,92.99,94.41,82.04,Aug_Urb_21-plot6813,18,6,SI_Urb_22-163,6.15,12.1,59.9,,318,KEEP,TRUE
,IL16LCSDH-02-T-864-60,66.73,71.89,80.09,86.16,96.8,89.68,81.89,DH_Urb_21-plot408,,,,,,,,,,
,2020-11836,65.57,70.32,80.52,88.86,93.28,92.34,81.82,Aug_Urb_21-plot5708,18,5,SI_Urb_22-138,5.74,13.1,56.2,,258,KEEP,TRUE
,2020-15546,64.88,67.95,80.56,88.45,93.26,95.8,81.82,Aug_Urb_21-plot7211,4,6,SI_Urb_22-177,7.03,11.2,62.7,,304,KEEP,TRUE
,2020-15836,66.22,73.47,80.68,85.24,90.79,94.37,81.8,Aug_Urb_21-plot7405,1,6,SI_Urb_22-180,7.05,11.4,62.1,,301,KEEP,TRUE
,2020-7415,66.26,69.94,80.58,85.74,93.78,91.72,81.34,Aug_Urb_21-plot3710,30,3,SI_Urb_22-90,6.05,11.4,62.9,,150,KEEP,TRUE
,2020-15415,66.27,71.65,80.43,85.57,92.59,91.3,81.3,Aug_Urb_21-plot7115,9,6,SI_Urb_22-172,6.62,11.2,62.8,,309,KEEP,TRUE
,2020-15478,64.02,72.71,79.44,88.95,88.85,93.38,81.22,Aug_Urb_21-plot7206,5,6,SI_Urb_22-176,6.78,11.1,62.4,,305,KEEP,TRUE
,2020-1149,65.74,69.13,80.28,87.06,93.99,90.81,81.17,Aug_Urb_21-plot414,7,1,SI_Urb_22-7,6.08,11.7,61.4,,7,KEEP,TRUE
,2020-5258,64.41,71.96,79.61,87.57,89.6,93.45,81.1,Aug_Urb_21-plot2715,4,2,SI_Urb_22-57,6.69,11.5,62.7,,64,KEEP,TRUE
,2020-14072,66.07,71.45,80.17,84.21,91.89,91.63,80.9,Aug_Urb_21-plot6418,22,6,SI_Urb_22-159,5.88,11.5,59.3,,322,KEEP,FALSE
,12-26004,62.14,70.85,75.55,88.09,98.06,90.66,80.89,Checks,,,,,,,,,,
,IL16LCSDH-02-T-864-27,66.32,72.35,79.47,82.47,93.97,90.19,80.8,DH_Urb_21-plot316,,,,,,,,,,
,2020-16301,63.99,69.8,79.37,88.06,90.63,92.68,80.75,Aug_Urb_21-plot7613,8,7,SI_Urb_22-188,6.43,11.2,61.8,,368,KEEP,TRUE
,2020-1534,63.92,66.6,79.64,87.18,92.24,94.71,80.72,Aug_Urb_21-plot618,11,1,SI_Urb_22-11,6.02,11.7,61.1,,11,KEEP,TRUE
,IL16LCSDH-10-T-2665-19,61.36,70.15,80.03,87.12,91.68,93.55,80.65,DH_Urb_21-plot1112,,,,,,,,,,
,2020-7746,62.97,65.93,79.16,89.18,91.79,94.19,80.54,Aug_Urb_21-plot3906,27,4,SI_Urb_22-94,6.16,11.5,61.7,,207,KEEP,TRUE
,2020-16972,64.14,71.7,79.15,85.87,88.8,92.93,80.43,Aug_Urb_21-plot8103,17,7,SI_Urb_22-197,6.82,11.7,60.4,,377,KEEP,TRUE
,IL16LCSDH-07-T-2662-222,71.06,66.85,79.21,84.06,87.89,93.4,80.41,DH_Urb_21-plot1616,,,,,,,,,,
,2020-5541,64.85,68.44,79.52,86.68,92.9,90,80.4,Aug_Urb_21-plot2904,5,3,SI_Urb_22-65,6.78,11.4,62.5,,125,KEEP,TRUE
,2020-15405,66.92,73.52,79.92,82.62,91.82,87.4,80.37,Aug_Urb_21-plot7113,10,6,SI_Urb_22-171,6.68,11.3,62.9,,310,KEEP,TRUE
,2020-8734,63.51,70.85,78.89,86.98,88.67,93.03,80.32,Aug_Urb_21-plot4211,19,4,SI_Urb_22-102,6.05,11.9,61.1,,199,KEEP,TRUE
,IL16LCSDH-03-T-865-32,62.37,65.91,77.83,90.35,91.79,93.45,80.28,DH2_Urb_21-plot417,,,,,,,,,,
,IL16LCSDH-10-T-2665-70,54.32,71.14,78.63,92.82,92.18,92.52,80.27,DH_Urb_21-plot1301,,,,,,,,,,
,2020-9242,65.53,71.64,79.64,81.92,89.98,92.65,80.23,Aug_Urb_21-plot4415,15,4,SI_Urb_22-106,7.28,11.7,61.4,,195,KEEP,TRUE
,2020-927,62.41,68.7,78.46,88.73,88.83,93.37,80.08,Aug_Urb_21-plot316,5,1,SI_Urb_22-5,2.58,0,0,,5,KEEP,TRUE
,IL16LCSDH-10-T-2665-69,66.02,68.62,79.08,85.88,89.9,90.33,79.97,DH_Urb_21-plot1220,,,,,,,,,,
,IL16LCSDH-02-T-864-20,66.73,67.06,77.89,86.99,92.61,85.59,79.48,DH_Urb_21-plot313,,,,,,,,,,
,2020-5056,64.49,72.94,78.45,85.03,88.88,87.06,79.47,Aug_Urb_21-plot2616,7,2,SI_Urb_22-54,6.21,11.6,61.8,,67,KEEP,TRUE
,2020-15010,64.08,70.45,78.62,83.71,89.1,90.75,79.45,Aug_Urb_21-plot6911,16,6,SI_Urb_22-165,5.84,11.5,62.3,,316,KEEP,TRUE
,IL16LCSDH-01-T-863-53,67.53,69.04,77.94,89.29,84.74,87.86,79.4,DH_Urb_21-plot103,,,,,,,,,,
,2020-11632,62.57,69.52,77.67,87.65,88.73,87.97,79.02,Aug_Urb_21-plot5608,17,5,SI_Urb_22-137,5.7,11.7,60.1,,257,KEEP,TRUE
,IL16LCSDH-10-T-2665-8,58.72,68.67,76.95,86.9,87.56,93.08,78.65,DH_Urb_21-plot1102,,,,,,,,,,
,2020-8457,63.81,69.34,77.94,82.43,89.29,87.89,78.45,Aug_Urb_21-plot4113,23,4,SI_Urb_22-98,5.57,11.7,61.8,,203,KEEP,TRUE
,2020-17343,63.26,70.29,77.51,82.24,87.58,88.19,78.18,Aug_Urb_21-plot8405,26,7,SI_Urb_22-206,6.29,11.4,61.2,,386,KEEP,TRUE
,IL16LCSDH-10-T-2665-75,68.29,66.52,77.99,84.17,85.26,86.53,78.13,DH_Urb_21-plot1303,,,,,,,,,,
,2020-12673,61.26,67.5,75.66,78,84.72,87.9,75.84,Aug_Urb_21-plot5909,25,5,SI_Urb_22-145,6.34,12.7,57.3,,265,KEEP,TRUE
,2020-4337,61.31,69.29,73.09,68.48,81.51,77.63,71.89,Aug_Urb_21-plot2212,12,2,SI_Urb_22-49,6.11,11.7,61.6,,72,KEEP,TRUE
,2020-15215,54.61,62.84,70.63,79.89,77.74,82.56,71.38,Aug_Urb_21-plot7010,14,6,SI_Urb_22-167,6.27,11.6,59.8,,314,KEEP,TRUE
